Year,AUM_SEK_m,Net_Transfer_SEK_m,Investment_Income_SEK_m,Return_percent
2001,133493,3062,-5005,-15.4
2002,117090,1985,-21405,-15.4
2003,140350,2143,20693,17.7
2004,158120,1397,16119,11.4
2005,190593,2312,29568,18.5
2006,216775,1568,24506,12.8
2007,227512,991,8718,4.0
2008,173338,831,-55058,-24.1
2009,204290,-3906,34858,20.3
2010,222507,-4041,22258,11.0
2011,216622,-1240,-4645,-2.1
2012,241454,-3788,28620,13.3
2013,264712,-6880,30138,12.7
2014,293907,-5120,34315,13.1
2015,300624,-4944,11661,4.0
2016,324522,-6637,30535,10.3
2017,345931,-7375,28784,9.0
2018,334828,-6773,-4330,-1.3
2019,381350,-6520,53042,15.9
2020,386224,-7902,12776,3.5
2021,441045,-7528,62349,16.3
2022,407112,-4689,-29244,-6.7
2023,426040,-4833,23761,5.9
